Time,Ask,Bid,AskVolume,BidVolume,
2014.09.09,00:00:00.110,106.13,106.126,1,2.25
2014.09.09,00:00:00.615,106.128,106.125,1,3
2014.09.09,00:00:01.121,106.127,106.124,2.25,1
2014.09.09,00:00:01.440,106.124,106.121,1,1
2014.09.09,00:00:01.747,106.121,106.119,3.75,1
2014.09.09,00:00:02.101,106.111,106.109,1,1.5
2014.09.09,00:00:02.152,106.111,106.108,2.25,1.5
2014.09.09,00:00:02.203,106.108,106.105,1,1.5
2014.09.09,00:00:02.254,106.107,106.105,1,1.5
2014.09.09,00:00:02.458,106.105,106.104,1,1
2014.09.09,00:00:02.762,106.104,106.103,3.37,1
2014.09.09,00:00:03.067,106.098,106.095,1,1.5
2014.09.09,00:00:03.423,106.099,106.096,1,4.5
2014.09.09,00:00:03.626,106.096,106.093,1,1.5
2014.09.09,00:00:04.131,106.097,106.094,1,1
2014.09.09,00:00:04.434,106.097,106.092,1,1.5
2014.09.09,00:00:04.536,106.098,106.094,3,1
2014.09.09,00:00:05.244,106.099,106.094,3,2.25
2014.09.09,00:00:05.547,106.097,106.096,1,1
2014.09.09,00:00:05.800,106.1,106.097,1.5,1
2014.09.09,00:00:06.309,106.101,106.099,1,1
2014.09.09,00:00:06.461,106.103,106.101,1,1
2014.09.09,00:00:06.664,106.108,106.104,3,3.75
2014.09.09,00:00:07.169,106.108,106.106,1,1
2014.09.09,00:00:07.422,106.11,106.107,1.5,1.5
2014.09.09,00:00:07.674,106.11,106.109,1,1
2014.09.09,00:00:07.927,106.113,106.11,1.5,1
2014.09.09,00:00:08.281,106.111,106.109,1,1
2014.09.09,00:00:08.382,106.112,106.108,1,1
2014.09.09,00:00:08.433,106.112,106.111,1,1
2014.09.09,00:00:09.039,106.111,106.109,1,1.5
2014.09.09,00:00:10.345,106.11,106.108,1,1
2014.09.09,00:00:10.446,106.112,106.107,1.5,1.5
2014.09.09,00:00:10.547,106.11,106.107,1,1.5
2014.09.09,00:00:11.759,106.113,106.109,2.44,1
2014.09.09,00:00:11.861,106.113,106.111,1,1
2014.09.09,00:00:12.012,106.115,106.112,2.25,1.5
2014.09.09,00:00:12.214,106.116,106.115,1.5,1
2014.09.09,00:00:12.316,106.118,106.115,1.5,1.25
2014.09.09,00:00:12.771,106.117,106.115,1,1
2014.09.09,00:00:12.923,106.118,106.114,1,1.5
2014.09.09,00:00:13.276,106.116,106.115,1,1.5
2014.09.09,00:00:13.529,106.115,106.113,1.5,1.5
2014.09.09,00:00:13.680,106.113,106.11,1,4.5
2014.09.09,00:00:14.233,106.112,106.11,1,1
2014.09.09,00:00:14.385,106.11,106.109,1,1
2014.09.09,00:00:14.890,106.11,106.108,1,1
2014.09.09,00:00:15.395,106.11,106.107,1,2.25
2014.09.09,00:00:15.749,106.108,106.106,1,1
2014.09.09,00:00:16.052,106.105,106.103,1,2.25
2014.09.09,00:00:16.826,106.11,106.104,8.62,1
2014.09.09,00:00:17.595,106.108,106.105,2.44,1
2014.09.09,00:00:17.696,106.106,106.105,1,1
2014.09.09,00:00:18.150,106.106,106.103,1.5,1
2014.09.09,00:00:18.654,106.106,106.104,1,1
2014.09.09,00:00:19.194,106.106,106.103,1,2.25
2014.09.09,00:00:20.463,106.107,106.103,1.5,2.25
2014.09.09,00:00:20.980,106.106,106.104,1,1
2014.09.09,00:00:21.486,106.106,106.103,1.5,1.5
2014.09.09,00:00:21.840,106.103,106.101,1,1
2014.09.09,00:00:21.891,106.103,106.1,2.25,1
2014.09.09,00:00:22.093,106.101,106.1,1,1
2014.09.09,00:00:22.346,106.101,106.097,3,1
2014.09.09,00:00:22.397,106.099,106.096,1,3
2014.09.09,00:00:22.800,106.097,106.096,1,1
2014.09.09,00:00:23.306,106.098,106.096,1,1
2014.09.09,00:00:24.316,106.097,106.096,1,1
2014.09.09,00:00:24.568,106.099,106.095,3.75,1
2014.09.09,00:00:24.670,106.099,106.097,3,1
2014.09.09,00:00:25.331,106.098,106.097,1,1
2014.09.09,00:00:25.862,106.098,106.096,2.44,1
2014.09.09,00:00:25.963,106.097,106.094,2.25,1
2014.09.09,00:00:26.115,106.097,106.096,1,1
2014.09.09,00:00:26.621,106.098,106.096,1,1
2014.09.09,00:00:26.823,106.1,106.096,1,1.5
2014.09.09,00:00:27.329,106.101,106.097,1.69,1.5
2014.09.09,00:00:27.531,106.101,106.099,1,1
2014.09.09,00:00:27.683,106.103,106.1,1.69,1
2014.09.09,00:00:28.794,106.104,106.102,1.69,1
2014.09.09,00:00:29.299,106.104,106.102,1.69,1
2014.09.09,00:00:29.913,106.104,106.101,1.69,1
2014.09.09,00:00:30.422,106.103,106.1,2.44,1
2014.09.09,00:00:31.355,106.103,106.1,2.44,1
2014.09.09,00:00:31.658,106.1,106.098,1,1.5
2014.09.09,00:00:32.686,106.1,106.098,1,1.5
2014.09.09,00:00:33.195,106.1,106.099,1,1
2014.09.09,00:00:33.296,106.102,106.099,1,2.5
2014.09.09,00:00:33.347,106.102,106.099,1.5,1
2014.09.09,00:00:33.398,106.099,106.097,1,1
2014.09.09,00:00:33.801,106.099,106.095,1,3
2014.09.09,00:00:34.220,106.1,106.097,1.25,1
2014.09.09,00:00:34.743,106.099,106.097,1,1.5
2014.09.09,00:00:34.898,106.099,106.096,1,1.5
2014.09.09,00:00:35.202,106.099,106.097,2.25,1
2014.09.09,00:00:35.454,106.098,106.095,1.25,4.5
2014.09.09,00:00:36.112,106.097,106.095,1,1.5
2014.09.09,00:00:36.617,106.098,106.095,1,1
2014.09.09,00:00:37.137,106.099,106.095,1.5,1.5
2014.09.09,00:00:37.595,106.096,106.095,1,1
2014.09.09,00:00:37.646,106.096,106.093,1.5,2.44
2014.09.09,00:00:38.152,106.097,106.094,1,2.25
2014.09.09,00:00:39.011,106.096,106.093,1.5,1.5
2014.09.09,00:00:39.516,106.097,106.093,3.94,2.25
2014.09.09,00:00:39.871,106.094,106.092,1,1.25
2014.09.09,00:00:40.325,106.095,106.093,1,3
2014.09.09,00:00:41.686,106.095,106.094,1,1
2014.09.09,00:00:42.191,106.096,106.093,3.19,1.5
2014.09.09,00:00:42.697,106.095,106.093,2.25,1.5
2014.09.09,00:00:43.317,106.093,106.09,1,1.69
2014.09.09,00:00:43.368,106.093,106.09,1,2.44
2014.09.09,00:00:43.874,106.092,106.09,1,2.25
2014.09.09,00:00:44.429,106.092,106.091,1,1
2014.09.09,00:00:46.379,106.093,106.091,1,1
2014.09.09,00:00:46.895,106.094,106.092,1,1
2014.09.09,00:00:48.022,106.094,106.091,1,3.75
2014.09.09,00:00:48.541,106.094,106.092,1.5,1
2014.09.09,00:00:49.376,106.095,106.093,1.25,1
2014.09.09,00:00:49.908,106.095,106.093,1.69,1
2014.09.09,00:00:50.211,106.098,106.096,1,1
2014.09.09,00:00:50.363,106.1,106.097,1.5,1
2014.09.09,00:00:50.515,106.101,106.099,1,1
2014.09.09,00:00:51.020,106.102,106.099,1,2.25
2014.09.09,00:00:51.323,106.104,106.1,2.25,1.5
2014.09.09,00:00:51.727,106.105,106.103,1.5,1
2014.09.09,00:00:51.980,106.107,106.103,2.44,2.25
2014.09.09,00:00:52.031,106.107,106.105,1.5,1
2014.09.09,00:00:52.486,106.107,106.103,1.5,3.19
2014.09.09,00:00:52.991,106.106,106.103,1,1
2014.09.09,00:00:53.495,106.105,106.102,1,1
2014.09.09,00:00:54.051,106.104,106.102,1,1
2014.09.09,00:00:54.152,106.103,106.1,1,2.25
2014.09.09,00:00:54.659,106.102,106.099,1,2.25
2014.09.09,00:00:55.164,106.101,106.097,1.5,1
2014.09.09,00:00:55.215,106.101,106.099,3,1
2014.09.09,00:00:55.318,106.099,106.096,2.44,1
2014.09.09,00:00:55.419,106.097,106.095,1,1
2014.09.09,00:00:55.975,106.097,106.094,2.25,1.5
2014.09.09,00:00:56.834,106.096,106.094,1,1.5
2014.09.09,00:00:57.339,106.097,106.094,2.44,1
2014.09.09,00:00:57.945,106.095,106.094,1,1
2014.09.09,00:00:58.450,106.094,106.09,2.25,1
2014.09.09,00:00:58.551,106.091,106.089,1,1
2014.09.09,00:00:58.602,106.09,106.087,1.5,1.5
2014.09.09,00:00:58.653,106.088,106.086,1,2.25
2014.09.09,00:00:58.855,106.09,106.086,2.44,1.5
2014.09.09,00:00:59.814,106.087,106.086,1,1
2014.09.09,00:01:00.132,106.085,106.082,1.5,1.5
2014.09.09,00:01:00.385,106.084,106.082,1,1.5
2014.09.09,00:01:01.664,106.085,106.082,1,2.25
2014.09.09,00:01:01.765,106.087,106.083,3.19,1.5
2014.09.09,00:01:02.270,106.087,106.084,2.44,1
2014.09.09,00:01:02.775,106.087,106.083,2.25,3.75
2014.09.09,00:01:03.280,106.087,106.084,1,1
2014.09.09,00:01:03.784,106.088,106.084,1,3
2014.09.09,00:01:04.290,106.088,106.085,1,1
2014.09.09,00:01:04.796,106.089,106.085,3.94,1
2014.09.09,00:01:05.301,106.089,106.086,3.19,1
2014.09.09,00:01:07.118,106.09,106.087,2.44,1
2014.09.09,00:01:07.623,106.091,106.087,2.44,1.5
2014.09.09,00:01:08.166,106.091,106.087,1.5,1
2014.09.09,00:01:08.671,106.092,106.087,3.94,1.5
2014.09.09,00:01:09.203,106.092,106.088,3.94,1
2014.09.09,00:01:09.732,106.092,106.088,3.94,1
2014.09.09,00:01:10.239,106.092,106.089,3.19,1
2014.09.09,00:01:11.620,106.091,106.087,1.25,3
2014.09.09,00:01:12.142,106.091,106.088,1.25,1
2014.09.09,00:01:12.547,106.092,106.09,1,1.5
2014.09.09,00:01:12.850,106.094,106.092,1,1
2014.09.09,00:01:13.002,106.096,106.092,3,1
2014.09.09,00:01:13.103,106.096,106.094,1.5,1
2014.09.09,00:01:13.356,106.099,106.096,2.25,1
2014.09.09,00:01:13.609,106.1,106.098,3.19,1
2014.09.09,00:01:13.913,106.102,106.101,1,1
2014.09.09,00:01:14.116,106.104,106.102,1.25,1.5
2014.09.09,00:01:14.621,106.105,106.102,3.94,1
2014.09.09,00:01:15.128,106.105,106.103,3.94,1
2014.09.09,00:01:15.633,106.105,106.102,3.94,2.25
2014.09.09,00:01:16.146,106.104,106.101,1,1
2014.09.09,00:01:16.348,106.102,106.1,1,1
2014.09.09,00:01:16.652,106.098,106.095,1.25,1
2014.09.09,00:01:16.703,106.096,106.095,1.25,1
2014.09.09,00:01:17.240,106.097,106.095,1,1
2014.09.09,00:01:17.745,106.098,106.096,1.69,1.5
2014.09.09,00:01:18.251,106.096,106.093,1,1
2014.09.09,00:01:18.353,106.094,106.093,1,1
2014.09.09,00:01:18.404,106.094,106.091,1,1
2014.09.09,00:01:18.505,106.092,106.09,1,1
2014.09.09,00:01:19.011,106.093,106.089,1.5,1
2014.09.09,00:01:19.668,106.093,106.09,1.5,1
2014.09.09,00:01:21.520,106.094,106.091,1.69,1
2014.09.09,00:01:21.672,106.096,106.092,6.19,1
2014.09.09,00:01:21.723,106.096,106.094,5.44,1
2014.09.09,00:01:21.927,106.098,106.094,1.25,1
2014.09.09,00:01:22.331,106.098,106.096,1,1.5
2014.09.09,00:01:22.433,106.1,106.096,1.69,2.25
2014.09.09,00:01:22.534,106.101,106.098,3.94,1
2014.09.09,00:01:22.788,106.103,106.099,1.25,1.5
2014.09.09,00:01:23.298,106.104,106.099,2.44,3
2014.09.09,00:01:23.551,106.104,106.101,1.25,1
2014.09.09,00:01:23.703,106.106,106.102,3.94,1.5
2014.09.09,00:01:27.610,106.105,106.102,1,1
2014.09.09,00:01:29.023,106.105,106.101,1.5,1.69
2014.09.09,00:01:29.124,106.102,106.101,3.37,1
2014.09.09,00:01:29.276,106.101,106.098,1.5,1.25
2014.09.09,00:01:29.377,106.101,106.096,1.5,3.19
2014.09.09,00:01:29.580,106.099,106.096,3.75,1.69
2014.09.09,00:01:30.087,106.099,106.095,6,2.25
2014.09.09,00:01:32.535,106.099,106.096,2.25,1
2014.09.09,00:01:33.041,106.1,106.097,5.81,1.5
2014.09.09,00:01:34.805,106.1,106.098,1.5,1
2014.09.09,00:01:35.388,106.1,106.097,2.25,2.25
2014.09.09,00:01:36.196,106.099,106.097,1,1
2014.09.09,00:01:36.701,106.1,106.097,2.25,1
2014.09.09,00:01:37.206,106.099,106.096,1,1.5
2014.09.09,00:01:37.509,106.1,106.098,3,1
2014.09.09,00:01:37.712,106.102,106.098,3.75,2.25
2014.09.09,00:01:38.217,106.101,106.098,1,1
2014.09.09,00:01:38.723,106.102,106.098,3,1
2014.09.09,00:01:39.229,106.102,106.099,1,1
2014.09.09,00:01:39.381,106.103,106.101,3.19,1
2014.09.09,00:01:39.533,106.105,106.101,2.25,1.5
2014.09.09,00:01:39.584,106.105,106.103,1,1
2014.09.09,00:01:40.090,106.106,106.103,1,1.5
2014.09.09,00:01:40.393,106.104,106.102,1.5,1
2014.09.09,00:01:40.494,106.102,106.099,1,1
2014.09.09,00:01:40.646,106.101,106.097,1.5,3.94
2014.09.09,00:01:42.237,106.1,106.097,1,1
2014.09.09,00:01:42.591,106.099,106.095,1.69,1
2014.09.09,00:01:42.642,106.096,106.094,1.25,1
2014.09.09,00:01:42.692,106.095,106.092,1,2.25
2014.09.09,00:01:42.743,106.093,106.09,1,2.25
2014.09.09,00:01:43.248,106.092,106.09,1.25,1
2014.09.09,00:01:43.450,106.091,106.087,1,1.69
2014.09.09,00:01:44.208,106.091,106.088,1,1
2014.09.09,00:01:44.663,106.093,106.089,2.44,1
2014.09.09,00:01:45.218,106.093,106.09,1.69,1
2014.09.09,00:01:45.734,106.093,106.088,2.44,3.19
2014.09.09,00:01:46.241,106.092,106.088,1,3.19
2014.09.09,00:01:47.380,106.093,106.088,3.19,2.44
2014.09.09,00:01:48.346,106.093,106.089,1.69,1
2014.09.09,00:01:48.855,106.094,106.091,2.25,1
2014.09.09,00:01:49.783,106.093,106.091,1,1
2014.09.09,00:01:50.301,106.094,106.091,1,1
2014.09.09,00:01:51.824,106.093,106.091,1,1
2014.09.09,00:01:54.779,106.093,106.092,1,1
2014.09.09,00:01:55.284,106.093,106.091,1,1
2014.09.09,00:01:56.447,106.095,106.091,3.75,1
2014.09.09,00:01:58.076,106.095,106.092,1.25,1
2014.09.09,00:01:58.228,106.097,106.094,1,1
2014.09.09,00:01:58.431,106.1,106.096,1,1.5
2014.09.09,00:01:58.937,106.1,106.097,1,1.5
2014.09.09,00:01:59.038,106.098,106.095,1,1.5
2014.09.09,00:01:59.341,106.096,106.093,1,2.25
2014.09.09,00:02:01.233,106.095,106.093,1,1.5
2014.09.09,00:02:01.486,106.094,106.091,1,2.44
2014.09.09,00:02:01.991,106.094,106.09,1.5,3.19
2014.09.09,00:02:02.647,106.093,106.09,1,1
2014.09.09,00:02:02.749,106.091,106.088,1,1.5
2014.09.09,00:02:03.253,106.091,106.087,1,1.25
2014.09.09,00:02:03.758,106.091,106.087,7.69,1
2014.09.09,00:02:04.263,106.09,106.086,1.25,1
2014.09.09,00:02:04.567,106.085,106.082,1,2.25
2014.09.09,00:02:05.072,106.084,106.082,1,1
2014.09.09,00:02:05.375,106.082,106.078,3,2.25
2014.09.09,00:02:05.553,106.08,106.076,1,5.25
2014.09.09,00:02:06.059,106.08,106.077,1,1
2014.09.09,00:02:06.565,106.081,106.076,2.44,1.25
2014.09.09,00:02:07.070,106.081,106.077,3.19,1.5
2014.09.09,00:02:07.574,106.081,106.078,2.44,1.5
2014.09.09,00:02:09.645,106.081,106.079,1,1
2014.09.09,00:02:10.150,106.082,106.078,2.44,1
2014.09.09,00:02:11.288,106.081,106.078,1,1
2014.09.09,00:02:12.259,106.082,106.078,3.19,1.5
2014.09.09,00:02:14.254,106.083,106.079,1.69,1.5
2014.09.09,00:02:14.759,106.082,106.079,1,1.5
2014.09.09,00:02:18.101,106.081,106.078,1,1.5
2014.09.09,00:02:18.606,106.081,106.077,1.69,1
2014.09.09,00:02:21.277,106.081,106.077,6.19,1
2014.09.09,00:02:22.633,106.08,106.076,1.69,1.5
2014.09.09,00:02:28.081,106.08,106.077,1.5,1
2014.09.09,00:02:28.485,106.082,106.078,6.94,1
2014.09.09,00:02:28.990,106.082,106.079,3.94,1
2014.09.09,00:02:29.509,106.081,106.079,1,1
2014.09.09,00:02:30.057,106.08,106.079,1,1
2014.09.09,00:02:30.529,106.081,106.077,2.25,1.5
2014.09.09,00:02:31.049,106.081,106.078,2.25,1
2014.09.09,00:02:31.150,106.079,106.078,1,1
2014.09.09,00:02:31.879,106.081,106.078,1.5,1
2014.09.09,00:02:37.538,106.081,106.08,1,1
2014.09.09,00:02:37.689,106.083,106.08,1.69,1
2014.09.09,00:02:39.070,106.082,106.08,1,1
2014.09.09,00:02:42.278,106.082,106.079,1,1.5
2014.09.09,00:02:42.885,106.083,106.079,1.5,1.5
2014.09.09,00:02:45.309,106.082,106.079,1,1.5
2014.09.09,00:02:56.581,106.081,106.078,1,1.5
2014.09.09,00:02:56.783,106.08,106.076,1,3
2014.09.09,00:02:58.202,106.08,106.077,1,1
2014.09.09,00:02:59.497,106.081,106.077,2.44,1.5
2014.09.09,00:03:00.113,106.08,106.077,1,1
2014.09.09,00:03:00.618,106.079,106.077,1,1
