Date,Time,Ask,Bid,AskVolume,BidVolume
12-08-2014,00:00:00.224,1.33823,1.33821,2.25,2.25
12-08-2014,00:00:02.074,1.33824,1.33821,3.75,1.5
12-08-2014,00:00:02.125,1.33822,1.33821,1,1.5
12-08-2014,00:00:02.635,1.33823,1.33821,1,1.5
12-08-2014,00:00:06.907,1.33823,1.33822,3,1
12-08-2014,00:00:23.757,1.33823,1.33821,3,1.5
12-08-2014,00:00:27.864,1.33822,1.33821,1,1
12-08-2014,00:00:28.373,1.33821,1.33818,1,3
12-08-2014,00:00:28.424,1.3382,1.33818,1,2.25
12-08-2014,00:00:28.932,1.33819,1.33817,1,1.5
12-08-2014,00:00:29.508,1.33819,1.33816,1,3.23
12-08-2014,00:00:31.815,1.33818,1.33816,1,2.44
12-08-2014,00:00:32.484,1.33818,1.33816,1,2.44
12-08-2014,00:00:35.361,1.33818,1.33817,1,1
12-08-2014,00:00:36.892,1.33818,1.33816,1,4.69
12-08-2014,00:00:38.327,1.33818,1.33817,1,1
12-08-2014,00:00:38.533,1.3382,1.33817,2.25,1
12-08-2014,00:00:39.048,1.3382,1.33818,2.25,1
12-08-2014,00:00:42.643,1.3382,1.33819,2.25,1
12-08-2014,00:00:43.148,1.3382,1.33817,2.5,1.32
12-08-2014,00:00:45.910,1.33819,1.33818,1,1
12-08-2014,00:00:58.490,1.33821,1.33818,2.44,1.88
12-08-2014,00:00:59.097,1.33821,1.33817,2.44,5.44
12-08-2014,00:00:59.148,1.33819,1.33817,1,4.69
12-08-2014,00:01:17.406,1.3382,1.33817,1.25,2.25
12-08-2014,00:01:26.294,1.3382,1.33817,1,2.44
12-08-2014,00:01:27.200,1.33821,1.33817,6.19,1.5
12-08-2014,00:01:31.947,1.33821,1.33817,5.07,3
12-08-2014,00:01:34.143,1.33821,1.33817,5.44,3
12-08-2014,00:01:36.358,1.33821,1.33818,5.44,1
12-08-2014,00:01:36.864,1.33821,1.33818,2.25,1.25
12-08-2014,00:01:45.791,1.3382,1.33818,1,1
12-08-2014,00:01:46.296,1.33819,1.33818,1,1
12-08-2014,00:01:46.813,1.33819,1.33817,1.5,1.5
12-08-2014,00:01:49.727,1.33818,1.33817,1,1.5
12-08-2014,00:01:50.252,1.33819,1.33817,1.5,1.5
12-08-2014,00:01:51.087,1.3382,1.33818,1,1
12-08-2014,00:01:51.643,1.33819,1.33818,1,1.25
12-08-2014,00:01:52.672,1.33819,1.33817,1,1.69
12-08-2014,00:01:54.830,1.33819,1.33818,1,2.63
12-08-2014,00:01:55.391,1.33819,1.33817,1,1.25
12-08-2014,00:02:03.801,1.33818,1.33817,1,1
12-08-2014,00:02:07.709,1.3382,1.33818,1.5,1
12-08-2014,00:02:07.963,1.33819,1.33817,1,2.44
12-08-2014,00:02:10.743,1.33821,1.33818,6.57,1
12-08-2014,00:02:11.249,1.33818,1.33817,1,1.5
12-08-2014,00:02:11.824,1.33819,1.33816,2.25,3.19
12-08-2014,00:02:14.261,1.33818,1.33816,1,1.5
12-08-2014,00:02:20.325,1.33819,1.33816,2.25,1
12-08-2014,00:02:20.830,1.33818,1.33816,1,1.13
12-08-2014,00:02:24.949,1.33819,1.33816,2.25,2.63
12-08-2014,00:02:25.453,1.33819,1.33817,2.25,1
12-08-2014,00:03:05.293,1.3382,1.33819,1,1
12-08-2014,00:03:12.866,1.3382,1.33817,1,5.44
12-08-2014,00:03:13.370,1.33819,1.33817,1,5.44
12-08-2014,00:03:16.342,1.33819,1.33817,1,4.69
12-08-2014,00:03:27.174,1.3382,1.33817,1,4.5
12-08-2014,00:03:32.734,1.3382,1.33818,1,1
12-08-2014,00:03:33.087,1.3382,1.33819,1,1
12-08-2014,00:03:39.571,1.33821,1.33819,1,2.44
12-08-2014,00:03:40.084,1.33821,1.3382,1,1.5
12-08-2014,00:03:40.613,1.33824,1.33821,3.49,1.5
12-08-2014,00:04:01.246,1.33822,1.3382,1,3.94
12-08-2014,00:04:05.142,1.33823,1.3382,1,4.32
12-08-2014,00:04:11.207,1.33822,1.3382,1,3.75
12-08-2014,00:04:13.746,1.33821,1.33819,1,2.44
12-08-2014,00:04:27.781,1.33822,1.3382,1.25,2.25
12-08-2014,00:04:30.645,1.33822,1.33821,1,1
12-08-2014,00:04:32.641,1.33824,1.33822,1.69,1
12-08-2014,00:04:33.063,1.33822,1.3382,1,3.94
12-08-2014,00:04:45.522,1.33822,1.3382,1,8.44
12-08-2014,00:04:50.899,1.33824,1.33821,2.44,1
12-08-2014,00:04:57.805,1.33824,1.33821,2.25,1.25
12-08-2014,00:05:05.226,1.33823,1.33821,1,1.25
12-08-2014,00:05:20.359,1.33826,1.33823,3.3,1
12-08-2014,00:05:20.409,1.33825,1.33823,1,2.44
12-08-2014,00:05:20.922,1.33827,1.33825,1.25,1
12-08-2014,00:05:31.470,1.33827,1.33825,1.25,1
12-08-2014,00:05:35.742,1.33826,1.33823,1,3.94
12-08-2014,00:05:48.310,1.33827,1.33824,3.19,1
12-08-2014,00:05:49.645,1.33827,1.33824,2.44,1
12-08-2014,00:05:50.157,1.33827,1.33825,2.44,1
12-08-2014,00:05:53.438,1.33827,1.33825,2.44,1
12-08-2014,00:05:54.335,1.33827,1.33824,2.44,1
12-08-2014,00:06:21.591,1.33827,1.33824,1.69,1
12-08-2014,00:06:22.397,1.33827,1.33825,1.25,1
12-08-2014,00:06:22.501,1.33826,1.33823,1,1.69
12-08-2014,00:06:45.149,1.33826,1.33825,1,1
12-08-2014,00:06:49.262,1.33825,1.33824,2.44,1
12-08-2014,00:06:49.869,1.33825,1.33824,1.5,1
12-08-2014,00:06:54.177,1.33825,1.33823,1,3.94
12-08-2014,00:06:54.703,1.33826,1.33823,1,3.94
12-08-2014,00:06:58.998,1.33825,1.33823,1,3.94
12-08-2014,00:07:12.643,1.33825,1.33823,1,3.19
12-08-2014,00:07:18.111,1.33824,1.33822,1,3.94
12-08-2014,00:07:22.908,1.33826,1.33823,1.25,1
12-08-2014,00:07:35.359,1.33826,1.33823,2.25,1.69
12-08-2014,00:07:35.966,1.33826,1.33823,7.32,1
12-08-2014,00:07:36.476,1.33825,1.33823,1,1
12-08-2014,00:07:36.988,1.33826,1.33825,1,1
12-08-2014,00:07:37.510,1.33827,1.33825,3.57,1
12-08-2014,00:07:48.290,1.33826,1.33825,1,2.25
12-08-2014,00:07:59.753,1.33827,1.33825,1.25,2.25
