Date,Time,Ask,Bid,AskVolume,BidVolume
11-08-2014,00:00:00.000,1.67771,1.6776,2.44,1.69
11-08-2014,00:00:06.135,1.67767,1.6776,1,1.19
11-08-2014,00:00:07.145,1.67767,1.67758,1,2.07
11-08-2014,00:00:08.116,1.67767,1.6776,1,1.19
11-08-2014,00:00:11.163,1.67767,1.67761,1,1.19
11-08-2014,00:00:11.847,1.67767,1.67759,1,1.19
11-08-2014,00:00:13.864,1.67767,1.67758,1,2.07
11-08-2014,00:00:13.966,1.67766,1.67756,1,1.77
11-08-2014,00:00:14.169,1.67761,1.67755,1,2.52
11-08-2014,00:00:14.220,1.67761,1.67753,1,1.39
11-08-2014,00:00:14.373,1.67762,1.6775,1.19,3.27
11-08-2014,00:00:14.676,1.67758,1.6775,1,1.19
11-08-2014,00:00:14.967,1.67756,1.67747,1,1.39
11-08-2014,00:00:15.474,1.67754,1.67747,1,1.57
11-08-2014,00:00:16.941,1.67754,1.67746,1,1.57
11-08-2014,00:00:18.985,1.67754,1.67746,1,2.44
11-08-2014,00:00:20.264,1.67756,1.67746,1,2.52
11-08-2014,00:00:21.213,1.67756,1.67745,1,3.34
11-08-2014,00:00:22.779,1.67753,1.67745,1,3.27
11-08-2014,00:00:23.285,1.67754,1.67745,1,3.27
11-08-2014,00:00:23.487,1.67756,1.67745,1.69,3.27
11-08-2014,00:00:25.589,1.67757,1.67746,1.25,1.7
11-08-2014,00:00:25.899,1.67755,1.67746,1,1.7
11-08-2014,00:00:30.410,1.67757,1.67745,1.5,3.34
11-08-2014,00:00:32.652,1.67757,1.67746,1,1.77
11-08-2014,00:00:32.907,1.67757,1.67747,1,1.32
11-08-2014,00:00:33.897,1.6776,1.67747,1.02,1.69
11-08-2014,00:00:34.922,1.6776,1.67748,1,1.37
11-08-2014,00:00:43.932,1.6776,1.67748,1,1.47
11-08-2014,00:00:44.696,1.6776,1.67748,1,2.14
11-08-2014,00:00:47.931,1.6776,1.67749,1,1.37
11-08-2014,00:00:48.925,1.6776,1.67748,1,2.89
11-08-2014,00:00:49.936,1.6776,1.67749,1.32,1.29
11-08-2014,00:00:56.657,1.67758,1.67747,1,1.77
11-08-2014,00:00:57.165,1.67758,1.67746,1,2.89
11-08-2014,00:00:57.765,1.67761,1.67747,3.64,1.29
11-08-2014,00:00:58.070,1.67761,1.67748,2.82,1.77
11-08-2014,00:00:59.031,1.6776,1.67748,1.29,1.02
