Date,Time,Ask,Bid,AskVolume,BidVolume
14-08-2014,00:00:00.810,1.33661,1.33657,3,1.5
14-08-2014,00:00:02.688,1.33661,1.33658,1.88,1
14-08-2014,00:00:07.304,1.33661,1.33657,3.38,2.25
14-08-2014,00:00:07.819,1.3366,1.33657,2.25,1.5
14-08-2014,00:00:12.418,1.3366,1.33658,1,1
14-08-2014,00:00:12.924,1.33659,1.33658,1.13,1
14-08-2014,00:00:13.026,1.33662,1.33659,3.75,6.25
14-08-2014,00:00:13.077,1.33662,1.3366,2.25,2.5
14-08-2014,00:00:13.251,1.33663,1.33662,1,1
14-08-2014,00:00:13.304,1.33665,1.33662,1,1
14-08-2014,00:00:13.810,1.33666,1.33662,3,2.25
14-08-2014,00:00:14.315,1.33665,1.33662,1.5,1
14-08-2014,00:00:14.669,1.33666,1.33664,3,1
14-08-2014,00:00:15.173,1.33667,1.33664,3,1
14-08-2014,00:00:15.883,1.33666,1.33664,1,1.5
14-08-2014,00:00:18.746,1.33665,1.33664,1,1
14-08-2014,00:00:19.815,1.33667,1.33664,3,1
14-08-2014,00:00:29.738,1.33666,1.33664,1,1
14-08-2014,00:00:38.188,1.33665,1.33664,1,1
14-08-2014,00:00:39.210,1.33666,1.33664,1,1
14-08-2014,00:00:50.969,1.33666,1.33662,3.19,4.32
14-08-2014,00:00:51.279,1.33664,1.33662,1,3.38
14-08-2014,00:00:56.952,1.33663,1.33662,1,1
14-08-2014,00:01:11.164,1.33663,1.33661,1,1
14-08-2014,00:01:16.211,1.33662,1.3366,1,2.44
14-08-2014,00:01:16.363,1.33662,1.33659,3.75,3.94
14-08-2014,00:01:16.868,1.33661,1.33659,1.5,3.75
14-08-2014,00:01:17.462,1.33661,1.33658,1.5,3.75
14-08-2014,00:01:23.554,1.33662,1.33658,2.63,3
14-08-2014,00:01:24.060,1.33662,1.33659,2.63,1.5
14-08-2014,00:01:24.566,1.33663,1.33659,3.57,3
14-08-2014,00:01:24.768,1.33661,1.33659,1,1
14-08-2014,00:01:24.870,1.33663,1.33659,3.57,1.5
14-08-2014,00:01:29.630,1.33662,1.33659,1,1
14-08-2014,00:01:30.973,1.33662,1.33658,1.5,2.25
14-08-2014,00:01:31.488,1.33662,1.33659,1,1
14-08-2014,00:01:32.729,1.33661,1.33659,1,1
14-08-2014,00:01:41.638,1.3366,1.33658,1,1
14-08-2014,00:01:41.740,1.33661,1.33659,1.5,1
14-08-2014,00:01:47.019,1.33661,1.3366,1.5,2.35
14-08-2014,00:01:47.474,1.33663,1.33661,1.25,1
14-08-2014,00:02:02.326,1.33662,1.3366,1,1.13
14-08-2014,00:02:02.831,1.33661,1.33659,1,2.25
14-08-2014,00:02:03.338,1.3366,1.33659,1,1
14-08-2014,00:02:04.156,1.33661,1.33659,5.82,1
14-08-2014,00:02:04.661,1.3366,1.33659,1.69,1
14-08-2014,00:02:05.820,1.33661,1.33659,3.94,1
14-08-2014,00:02:06.426,1.33663,1.33659,5.44,3.75
