Date,Time,Ask,Bid,AskVolume,BidVolume
15-08-2014,00:00:00.000,1.6686,1.6685,1,1
15-08-2014,00:00:01.642,1.6686,1.66848,1,1.19
15-08-2014,00:00:02.665,1.6686,1.66848,1,1.25
15-08-2014,00:00:05.932,1.66862,1.66848,1.65,1.25
15-08-2014,00:00:07.862,1.6686,1.66848,1,1.25
15-08-2014,00:00:08.380,1.6686,1.66848,1,1.19
15-08-2014,00:00:08.884,1.66862,1.66848,1.65,1.19
15-08-2014,00:00:09.393,1.66862,1.66848,1.18,1.25
15-08-2014,00:00:10.691,1.66861,1.66847,1.1,1.77
15-08-2014,00:00:12.383,1.6686,1.66847,1,1.77
15-08-2014,00:00:13.160,1.66862,1.66847,1.65,1.77
15-08-2014,00:00:15.868,1.6686,1.66847,1,1.77
15-08-2014,00:00:16.123,1.66858,1.66847,1,1.29
15-08-2014,00:00:23.075,1.66858,1.66849,1,1.19
15-08-2014,00:00:23.177,1.66859,1.66847,1,1.77
15-08-2014,00:00:23.681,1.66858,1.66847,1,1.29
15-08-2014,00:00:24.378,1.66858,1.66847,1,1.29
15-08-2014,00:00:26.328,1.6686,1.66846,1,2.22
15-08-2014,00:00:26.949,1.66861,1.66846,1.1,2.97
15-08-2014,00:00:27.767,1.66859,1.66846,1,2.97
15-08-2014,00:00:28.121,1.66858,1.66843,1.58,1.74
15-08-2014,00:00:28.222,1.66856,1.66841,4.95,2.14
15-08-2014,00:00:28.374,1.66851,1.66838,1,1.77
15-08-2014,00:00:28.526,1.66848,1.66837,1,1.98
15-08-2014,00:00:28.577,1.66848,1.66836,1,1.02
15-08-2014,00:00:28.679,1.66848,1.66831,1.18,3.27
15-08-2014,00:00:28.780,1.66847,1.66831,1.58,1.77
15-08-2014,00:00:29.307,1.66848,1.66833,1.5,2.82
15-08-2014,00:00:29.358,1.66849,1.66834,1,1.98
15-08-2014,00:00:29.661,1.6685,1.66837,1,1.5
15-08-2014,00:00:30.426,1.66851,1.66838,1,1.58
15-08-2014,00:00:31.710,1.66852,1.66839,1.25,1.47
15-08-2014,00:00:32.708,1.66852,1.6684,1.19,2.52
15-08-2014,00:00:34.834,1.66853,1.6684,1.19,2.52
15-08-2014,00:00:38.856,1.66853,1.66839,1.69,2.59
15-08-2014,00:00:49.326,1.66853,1.6684,1.19,2.52
15-08-2014,00:00:52.658,1.66854,1.6684,2.52,2.52
15-08-2014,00:00:56.689,1.66853,1.66839,1.84,4.32
15-08-2014,00:00:57.996,1.66853,1.66838,1.84,3.27
15-08-2014,00:01:01.295,1.66852,1.66839,1.02,2.44
15-08-2014,00:01:02.370,1.66853,1.66839,1.84,2.44
15-08-2014,00:01:03.064,1.66853,1.66839,1.37,3.19
15-08-2014,00:01:08.173,1.66853,1.66839,1.84,2.44
15-08-2014,00:01:17.786,1.66853,1.66839,1.37,3.19
15-08-2014,00:01:19.427,1.66852,1.6684,1.29,2.44
15-08-2014,00:01:20.498,1.66852,1.6684,1.25,2.52
15-08-2014,00:01:28.531,1.66852,1.6684,1.19,4.39
15-08-2014,00:01:29.614,1.66853,1.6684,1.19,4.39
15-08-2014,00:01:38.520,1.66853,1.6684,1.84,1.25
15-08-2014,00:01:49.151,1.66853,1.6684,1.09,1.19
15-08-2014,00:01:51.182,1.66853,1.6684,1.37,1.19
15-08-2014,00:01:52.348,1.66853,1.66839,1.09,5.07
15-08-2014,00:02:06.286,1.66854,1.66839,2.52,3.19
15-08-2014,00:02:18.629,1.66853,1.66839,1.84,2.44
15-08-2014,00:02:26.223,1.66854,1.66839,2.52,1.32
15-08-2014,00:02:26.837,1.66853,1.66838,1.37,5.89
15-08-2014,00:02:53.886,1.66852,1.66838,1.37,5.82
15-08-2014,00:02:54.189,1.66853,1.66839,1.02,1.19
15-08-2014,00:02:59.832,1.66854,1.66839,1.37,3.64
15-08-2014,00:03:06.308,1.66853,1.6684,1.29,1.32
15-08-2014,00:03:07.408,1.66854,1.6684,1.37,1.32
15-08-2014,00:03:19.001,1.66855,1.6684,2.52,2.22
15-08-2014,00:03:27.017,1.66854,1.6684,1.19,1.47
15-08-2014,00:03:28.651,1.66855,1.6684,2.52,2.22
15-08-2014,00:03:29.631,1.66854,1.6684,2.22,1.19
15-08-2014,00:03:31.632,1.66853,1.66838,1.67,1.84
15-08-2014,00:03:34.029,1.66854,1.66839,1.84,1.29
15-08-2014,00:04:00.045,1.66853,1.66839,1.39,1.69
15-08-2014,00:04:06.330,1.66854,1.66839,2.52,1.77
15-08-2014,00:04:19.705,1.66853,1.66839,1.39,1.29
15-08-2014,00:04:20.224,1.66853,1.66839,1.32,1.77
15-08-2014,00:04:20.737,1.66854,1.66839,1.69,2.52
15-08-2014,00:04:26.542,1.66853,1.66838,1.39,2.22
15-08-2014,00:04:36.171,1.66852,1.66838,1.57,1.37
15-08-2014,00:04:42.742,1.66853,1.66838,2.52,1.84
15-08-2014,00:04:45.974,1.66852,1.66838,1.57,1.37
15-08-2014,00:05:07.173,1.66853,1.66838,1.84,1.29
15-08-2014,00:05:26.452,1.66854,1.66839,2.52,1.69
15-08-2014,00:05:27.457,1.66853,1.66838,1.74,1.39
15-08-2014,00:05:39.273,1.66854,1.66839,2.52,1.19
15-08-2014,00:05:41.634,1.66853,1.66838,1.74,4.02
15-08-2014,00:05:48.664,1.66852,1.66838,1.47,1.32
15-08-2014,00:06:03.798,1.66852,1.66836,1.84,3.34
15-08-2014,00:06:04.102,1.66851,1.66837,1.39,1.32
15-08-2014,00:06:04.608,1.66852,1.66837,1.84,1.39
15-08-2014,00:06:05.983,1.66851,1.66838,1.02,1.32
15-08-2014,00:06:31.336,1.66852,1.66838,1.37,2.07
15-08-2014,00:06:44.779,1.66852,1.66838,2.89,1.32
15-08-2014,00:06:45.298,1.66852,1.66839,2.22,1.25
15-08-2014,00:06:48.274,1.66851,1.66839,1.29,1
15-08-2014,00:07:09.686,1.66851,1.66839,1.47,1.25
15-08-2014,00:07:11.781,1.66851,1.66839,1.84,1
15-08-2014,00:07:24.414,1.66851,1.66839,1.37,1.25
15-08-2014,00:07:25.826,1.66851,1.66839,4.09,1
15-08-2014,00:07:36.940,1.6685,1.66839,1.77,1
