Time,Ask,Bid,AskVolume,BidVolume,
2014.09.11,00:00:00.560,106.841,106.838,1,1
2014.09.11,00:00:00.763,106.844,106.839,1.5,1.5
2014.09.11,00:00:01.272,106.843,106.84,1,1.5
2014.09.11,00:00:01.628,106.842,106.838,1.5,1.5
2014.09.11,00:00:02.184,106.841,106.838,1,1.5
2014.09.11,00:00:02.690,106.841,106.837,1.5,3
2014.09.11,00:00:02.943,106.839,106.836,1,2.25
2014.09.11,00:00:03.549,106.839,106.835,2.25,1.5
2014.09.11,00:00:07.250,106.839,106.836,1,1
2014.09.11,00:00:07.504,106.841,106.837,1,6
2014.09.11,00:00:08.011,106.841,106.836,3,1
2014.09.11,00:00:10.669,106.841,106.835,2.44,3.75
2014.09.11,00:00:11.668,106.84,106.835,1,3.75
2014.09.11,00:00:14.716,106.839,106.835,1,1
2014.09.11,00:00:15.221,106.838,106.835,1,1
2014.09.11,00:00:15.994,106.838,106.836,1,1
2014.09.11,00:00:16.095,106.84,106.837,1.5,1
2014.09.11,00:00:16.197,106.839,106.834,1,3.56
2014.09.11,00:00:16.248,106.839,106.836,1,3.75
2014.09.11,00:00:16.552,106.84,106.838,1.5,2.62
2014.09.11,00:00:16.603,106.842,106.838,1,2.62
2014.09.11,00:00:16.754,106.843,106.84,2.25,1
2014.09.11,00:00:17.260,106.843,106.839,1.5,2.25
2014.09.11,00:00:20.872,106.843,106.84,1.5,1
2014.09.11,00:00:21.389,106.843,106.839,1.5,1.5
2014.09.11,00:00:22.712,106.84,106.839,1,1
2014.09.11,00:00:23.218,106.841,106.838,1,1
2014.09.11,00:00:26.686,106.841,106.837,1,3
2014.09.11,00:00:26.938,106.843,106.838,2.44,3.37
2014.09.11,00:00:28.235,106.842,106.838,1.5,1.87
2014.09.11,00:00:28.639,106.84,106.837,1.5,1.5
2014.09.11,00:00:29.163,106.841,106.837,1,2.25
2014.09.11,00:00:30.345,106.84,106.837,1,2.25
2014.09.11,00:00:32.759,106.84,106.835,3,3.19
2014.09.11,00:00:33.265,106.839,106.835,2.44,2.44
2014.09.11,00:00:33.739,106.837,106.834,1,1.5
2014.09.11,00:00:34.346,106.836,106.834,1,1
2014.09.11,00:00:34.852,106.837,106.834,1.5,1.25
2014.09.11,00:00:37.138,106.836,106.834,1,1.25
2014.09.11,00:00:41.021,106.835,106.834,1,1
2014.09.11,00:00:41.173,106.834,106.831,2.25,3
2014.09.11,00:00:41.325,106.833,106.829,2.25,1.5
2014.09.11,00:00:41.427,106.831,106.828,1.5,1.31
2014.09.11,00:00:41.750,106.829,106.827,1,1.25
2014.09.11,00:00:42.458,106.829,106.826,1,2.44
2014.09.11,00:00:44.625,106.828,106.826,1,1
2014.09.11,00:00:45.081,106.827,106.823,1.69,2.44
2014.09.11,00:00:46.375,106.826,106.823,1,1.25
2014.09.11,00:00:46.880,106.827,106.823,1.69,1.25
2014.09.11,00:00:47.133,106.825,106.822,1,7.69
2014.09.11,00:00:47.385,106.824,106.821,1.5,1.69
2014.09.11,00:00:47.891,106.823,106.821,1,2.44
2014.09.11,00:00:48.396,106.824,106.821,1.5,1.69
2014.09.11,00:00:48.901,106.824,106.822,1,1
2014.09.11,00:00:49.418,106.824,106.821,1.5,1.25
2014.09.11,00:00:55.989,106.825,106.821,3,3.75
2014.09.11,00:00:57.103,106.825,106.823,1.5,1
2014.09.11,00:01:03.320,106.825,106.821,1,4.69
2014.09.11,00:01:03.825,106.824,106.821,1,1.5
2014.09.11,00:01:04.392,106.825,106.821,2.25,2.25
2014.09.11,00:01:04.913,106.824,106.821,1,1.5
2014.09.11,00:01:12.591,106.821,106.82,1,1
2014.09.11,00:01:12.794,106.822,106.818,1.69,3.19
2014.09.11,00:01:13.299,106.822,106.819,1.25,1
2014.09.11,00:01:16.288,106.821,106.819,1,1
2014.09.11,00:01:16.800,106.82,106.818,1,1.25
2014.09.11,00:01:18.067,106.82,106.819,1,1
2014.09.11,00:01:18.582,106.821,106.818,1,1.25
2014.09.11,00:01:20.641,106.82,106.817,1,1.69
2014.09.11,00:01:21.500,106.82,106.817,1,1
