Time,Ask,Bid,AskVolume,BidVolume,
2014.09.11,00:00:00.355,1.61992,1.61976,1.07,2.51
2014.09.11,00:00:00.557,1.61994,1.61976,2.02,1.84
2014.09.11,00:00:00.659,1.61993,1.61977,1.2,1.01
2014.09.11,00:00:00.965,1.61993,1.61978,1.37,1.5
2014.09.11,00:00:01.473,1.61995,1.61979,3.26,1.07
2014.09.11,00:00:02.294,1.61995,1.61979,1.95,1.07
2014.09.11,00:00:03.649,1.61995,1.61979,1.76,1.15
2014.09.11,00:00:08.861,1.61996,1.61983,3.34,1
2014.09.11,00:00:09.165,1.61999,1.61987,2.25,1.07
2014.09.11,00:00:09.368,1.62002,1.61987,1.29,1.07
2014.09.11,00:00:10.379,1.62002,1.61987,1.57,1.07
2014.09.11,00:00:10.885,1.62001,1.61987,1,1.07
2014.09.11,00:00:13.366,1.62001,1.61987,1.1,1.1
2014.09.11,00:00:13.930,1.62001,1.61987,1,1.07
2014.09.11,00:00:14.474,1.62001,1.61987,1.1,1
2014.09.11,00:00:16.182,1.62001,1.61987,3,1.07
2014.09.11,00:00:16.385,1.62001,1.61986,1.69,1
2014.09.11,00:00:16.487,1.61998,1.61984,1.39,1.65
2014.09.11,00:00:16.842,1.62001,1.61984,1.76,1.09
2014.09.11,00:00:16.893,1.61997,1.61984,1,1.09
2014.09.11,00:00:16.995,1.61999,1.61984,1.1,1.09
2014.09.11,00:00:17.603,1.61999,1.61985,1.66,1.1
2014.09.11,00:00:17.704,1.61998,1.61985,1.66,1
2014.09.11,00:00:17.856,1.61998,1.61983,1.74,1.1
2014.09.11,00:00:17.958,1.61998,1.61986,1.57,1
2014.09.11,00:00:18.013,1.61999,1.61986,1,1
2014.09.11,00:00:18.064,1.62002,1.61988,1.76,1
2014.09.11,00:00:18.469,1.62,1.61986,1.2,1.31
2014.09.11,00:00:18.722,1.62001,1.61984,2.21,1.65
2014.09.11,00:00:18.824,1.61998,1.61983,1.19,2.4
2014.09.11,00:00:18.926,1.62,1.61984,2.21,1.2
2014.09.11,00:00:18.977,1.62001,1.61986,2.21,1
2014.09.11,00:00:19.028,1.62002,1.61986,1.66,1.1
2014.09.11,00:00:19.079,1.62002,1.61988,1.66,1
2014.09.11,00:00:20.113,1.62003,1.61988,1.76,1.1
2014.09.11,00:00:30.481,1.62004,1.61994,1.01,1
2014.09.11,00:00:30.533,1.62006,1.61994,1.69,1
2014.09.11,00:00:30.635,1.62008,1.61993,1.65,1.1
2014.09.11,00:00:30.939,1.62006,1.61992,1.19,1.09
2014.09.11,00:00:31.243,1.62006,1.61994,1.19,1
2014.09.11,00:00:31.344,1.62009,1.61994,1.84,1.12
2014.09.11,00:00:32.335,1.62008,1.61994,1.19,1.31
2014.09.11,00:00:33.046,1.62008,1.61994,1.26,1.39
2014.09.11,00:00:33.199,1.62008,1.61998,1.19,1.5
2014.09.11,00:00:33.437,1.62012,1.61999,1.19,1.1
2014.09.11,00:00:33.488,1.62012,1.62001,1.19,1.07
2014.09.11,00:00:33.539,1.62016,1.62002,2.44,1.32
2014.09.11,00:00:33.640,1.62016,1.62002,1,2.51
2014.09.11,00:00:33.743,1.6202,1.62004,1.32,1.1
2014.09.11,00:00:33.794,1.6202,1.62006,1.22,1.1
2014.09.11,00:00:33.845,1.62021,1.62006,1.29,1.09
2014.09.11,00:00:34.200,1.62022,1.6201,1.76,1
2014.09.11,00:00:34.707,1.62023,1.62011,1.19,1
2014.09.11,00:00:35.011,1.62023,1.62013,1.19,1
2014.09.11,00:00:36.476,1.62025,1.62013,1.19,1
2014.09.11,00:00:41.337,1.62025,1.62015,1.19,1
2014.09.11,00:00:41.388,1.62029,1.62015,1.56,1.5
2014.09.11,00:00:41.440,1.6203,1.62017,3.19,1
2014.09.11,00:00:41.491,1.6203,1.62017,1.69,1.5
2014.09.11,00:00:41.593,1.62029,1.62017,1.19,1.57
2014.09.11,00:00:41.903,1.62029,1.62019,1.19,1.5
2014.09.11,00:00:42.410,1.62029,1.62019,1.19,1.65
2014.09.11,00:00:43.081,1.62032,1.62019,1.19,1.65
2014.09.11,00:00:46.376,1.62031,1.62019,1.19,1.65
2014.09.11,00:00:46.956,1.62031,1.62021,1.19,1
