Time,Ask,Bid,AskVolume,BidVolume,
2014.09.12,00:00:00.189,107.123,107.12,1,1.5
2014.09.12,00:00:00.291,107.124,107.12,1,2.25
2014.09.12,00:00:01.150,107.124,107.121,1,3.37
2014.09.12,00:00:01.201,107.124,107.123,1,1.5
2014.09.12,00:00:01.302,107.126,107.123,1,2.25
2014.09.12,00:00:01.810,107.125,107.123,1,1
2014.09.12,00:00:01.911,107.124,107.121,1,1
2014.09.12,00:00:02.012,107.122,107.12,1.12,1
2014.09.12,00:00:02.063,107.122,107.118,1.12,2.25
2014.09.12,00:00:02.114,107.12,107.118,1,1
2014.09.12,00:00:02.215,107.119,107.116,1,5.25
2014.09.12,00:00:02.417,107.118,107.114,1,1.12
2014.09.12,00:00:02.519,107.116,107.115,1,1
2014.09.12,00:00:02.772,107.112,107.109,1,1.5
2014.09.12,00:00:02.874,107.11,107.108,1,1
2014.09.12,00:00:03.025,107.112,107.109,1,1
2014.09.12,00:00:03.177,107.112,107.107,1,3.75
2014.09.12,00:00:03.682,107.111,107.107,1,2.25
2014.09.12,00:00:04.188,107.112,107.107,2.62,2.25
2014.09.12,00:00:04.289,107.11,107.107,1,1.5
2014.09.12,00:00:04.492,107.111,107.105,1.5,3
2014.09.12,00:00:04.542,107.109,107.105,1,2.25
2014.09.12,00:00:05.051,107.108,107.106,1,1
2014.09.12,00:00:05.577,107.109,107.106,1,1
2014.09.12,00:00:06.032,107.108,107.104,1,2.62
2014.09.12,00:00:06.234,107.106,107.103,1,1
2014.09.12,00:00:06.537,107.108,107.106,1.5,1
2014.09.12,00:00:06.639,107.108,107.103,1.5,2.25
2014.09.12,00:00:07.144,107.106,107.102,1,3
2014.09.12,00:00:07.649,107.107,107.103,2.62,1
2014.09.12,00:00:08.053,107.105,107.102,1,1
2014.09.12,00:00:08.104,107.105,107.1,1.5,1.5
2014.09.12,00:00:08.154,107.103,107.1,1,1.5
2014.09.12,00:00:08.610,107.101,107.099,3,1
2014.09.12,00:00:08.660,107.099,107.096,1,1.5
2014.09.12,00:00:08.812,107.097,107.094,1,1
2014.09.12,00:00:08.914,107.099,107.094,1.5,1
2014.09.12,00:00:09.015,107.097,107.094,1,1
2014.09.12,00:00:09.522,107.098,107.095,1,1
2014.09.12,00:00:09.927,107.099,107.097,1,1
2014.09.12,00:00:10.028,107.101,107.098,1,1
2014.09.12,00:00:10.551,107.102,107.098,1.5,2.44
2014.09.12,00:00:11.214,107.102,107.099,1.5,1
2014.09.12,00:00:12.441,107.103,107.099,2.25,1.5
2014.09.12,00:00:13.155,107.103,107.1,1.5,1
2014.09.12,00:00:13.663,107.105,107.102,1,1
2014.09.12,00:00:13.866,107.109,107.104,2.44,1.5
2014.09.12,00:00:13.917,107.11,107.106,1.5,1
2014.09.12,00:00:14.441,107.111,107.107,1,1
2014.09.12,00:00:14.948,107.11,107.107,1,1
2014.09.12,00:00:16.242,107.112,107.108,1.69,1.5
2014.09.12,00:00:16.293,107.112,107.11,1.25,1
2014.09.12,00:00:16.697,107.114,107.11,2.25,1
2014.09.12,00:00:17.059,107.112,107.109,1,1.5
2014.09.12,00:00:17.564,107.112,107.11,1.5,1
2014.09.12,00:00:17.917,107.113,107.111,1.5,1
2014.09.12,00:00:18.422,107.113,107.111,1,1
2014.09.12,00:00:18.927,107.112,107.111,1,1
2014.09.12,00:00:20.295,107.113,107.111,1,1.5
2014.09.12,00:00:21.559,107.114,107.111,1.5,1.5
2014.09.12,00:00:21.963,107.112,107.111,1,1
2014.09.12,00:00:22.279,107.112,107.11,1.5,1
2014.09.12,00:00:23.876,107.111,107.109,1.5,1
2014.09.12,00:00:24.383,107.112,107.11,1,1
2014.09.12,00:00:24.712,107.11,107.108,1,1.5
2014.09.12,00:00:24.765,107.109,107.108,1,1
2014.09.12,00:00:24.968,107.109,107.106,1,2.25
